national_occ_title,occ_code,occupation_type,employment_2025,employment_2035,growth_pct,annual_openings,national_median_wage,education,occupation_group,salary_score,growth_score,openings_score
      Chief executives,11-1011,line item,291600.0,300900.0,3.2,19100.0,213990.0,Bachelor's degree,Management,34.66883780815693,49.86737400530504,2.3084360647812425
      General and operations managers,11-1021,line item,3599000.0,3780300.0,5.0,285000.0,105770.0,Bachelor's degree,Management,14.178058848032718,52.25464190981432,34.445250181290795
      Advertising and promotions managers,11-2011,line item,33200.0,31900.0,-3.7,2300.0,133660.0,Bachelor's degree,Management,19.45885560646798,40.716180371352785,0.27797921198936426
        Marketing managers,11-2021,line item,421600.0,450800.0,6.9,34000.0,166790.0,Bachelor's degree,Management,25.731813534290147,54.774535809018566,4.109257916364515
        Sales managers,11-2022,line item,650100.0,679100.0,4.5,47300.0,148270.0,Bachelor's degree,Management,22.225167569205134,51.591511936339515,5.7167029248247525
        Public relations managers,11-2032,line item,80800.0,85400.0,5.7,6100.0,146910.0,Bachelor's degree,Management,21.967660090127616,53.183023872679044,0.7372492144065749
        Fundraising managers,11-2033,line item,48800.0,51400.0,5.4,3700.0,125470.0,Bachelor's degree,Management,17.9081304199644,52.78514588859415,0.4471839497220208
        Administrative services managers,11-3012,line item,279000.0,293300.0,5.2,22000.0,114130.0,Bachelor's degree,Management,15.760972469420986,52.51989389920424,2.658931592941745
        Facilities managers,11-3013,line item,165900.0,173500.0,4.6,14200.0,106660.0,Bachelor's degree,Management,14.3465747718408,51.72413793103448,1.7162194827169446
      Computer and information systems managers,11-3021,line item,685800.0,793900.0,15.8,53500.0,175140.0,Bachelor's degree,Management,27.312833718332257,66.57824933687002,6.466038191926517
      Financial managers,11-3031,line item,879700.0,964600.0,9.7,65600.0,166570.0,Bachelor's degree,Management,25.69015791267467,58.488063660477444,7.928450568044476
      Industrial production managers,11-3051,line item,252100.0,258600.00000000003,2.6,17000.0,126060.0,Bachelor's degree,Management,18.01984322338774,49.07161803713527,2.0546289581822577
      Purchasing managers,11-3061,line item,88300.0,91800.0,4.0,6400.0,148080.0,Bachelor's degree,Management,22.18919225962813,50.92838196286471,0.7735073724921441
"      Transportation, storage, and distribution managers",11-3071,line item,228100.0,242100.0,6.1,18300.0,107230.0,High school diploma or equivalent,Management,14.454500700571819,53.713527851458885,2.2117476432197245
      Compensation and benefits managers,11-3111,line item,23700.0,24000.0,1.1,1600.0,149230.0,Bachelor's degree,Management,22.406937554436325,47.08222811671087,0.19337684312303602
      Human resources managers,11-3121,line item,224900.0,237400.0,5.5,16800.0,149280.0,Bachelor's degree,Management,22.416404741167113,52.91777188328912,2.030456852791878
      Training and development managers,11-3131,line item,50200.0,53500.0,6.4,4100.0,133000.0,Bachelor's degree,Management,19.333888741621543,54.111405835543756,0.49552816050277976
"      Farmers, ranchers, and other agricultural managers",11-9013,line item,788700.0,762200.0,-3.4,70800.0,89900.0,High school diploma or equivalent,Management,11.173173779679631,41.11405835543766,8.556925308194344
      Construction managers,11-9021,line item,609100.0,664300.0,9.1,49700.0,114990.0,Bachelor's degree,Management,15.923808081190593,57.692307692307686,6.006768189509306
"        Education and childcare administrators, preschool and daycare",11-9031,line item,91900.0,89000.0,-3.1,5200.0,59300.0,Bachelor's degree,Management,5.37925550043549,41.511936339522535,0.628474740149867
"        Education administrators, kindergarten through secondary",11-9032,line item,343800.0,342700.0,-0.3,20600.0,105870.0,Master's degree,Management,14.1969932214943,45.22546419098143,2.4897268552090885
"        Education administrators, postsecondary",11-9033,line item,231800.0,235900.0,1.8,14500.0,104590.0,Master's degree,Management,13.954633241186048,48.010610079575585,1.752477640802514
"        Education administrators, all other",11-9039,line item,62000.0,63000.0,1.6,3900.0,95200.0,Bachelor's degree,Management,12.176695573143485,47.745358090185675,0.47135605511240025
      Architectural and engineering managers,11-9041,line item,220900.0,233100.0,5.5,14900.0,171270.0,Bachelor's degree,Management,26.58007346536903,52.91777188328912,1.800821851583273
      Food service managers,11-9051,line item,344300.0,364200.0,5.8,38800.0,69390.0,High school diploma or equivalent,Management,7.28973378270913,53.31564986737399,4.6893884457336235
        Gambling managers,11-9071,line item,5600.0,5800.0,3.6,600.0,93220.0,High school diploma or equivalent,Management,11.801794978604157,50.397877984084886,0.0725163161711385
"        Entertainment and recreation managers, except gambling",11-9072,line item,43900.0,46500.0,6.0,5100.0,79520.0,Bachelor's degree,Management,9.207785814367403,53.580901856763916,0.6163886874546773
      Lodging managers,11-9081,line item,54800.0,56900.0,3.8,5500.0,69250.0,High school diploma or equivalent,Management,7.263225659862915,50.663129973474796,0.6647328982354362
      Medical and health services managers,11-9111,line item,640400.0,795500.0,24.2,62300.0,123860.0,Bachelor's degree,Management,17.603287007232932,77.71883289124666,7.529610829103214
      Natural sciences managers,11-9121,line item,112200.0,121500.0,8.2,9200.0,167220.0,Bachelor's degree,Management,25.81323134017495,56.49867374005304,1.111916847957457
      Postmasters and mail superintendents,11-9131,line item,13300.0,13200.0,-0.3,900.0,96660.0,High school diploma or equivalent,Management,12.453137425682584,45.22546419098143,0.10877447425670776
"      Property, real estate, and community association managers",11-9141,line item,460400.0,477600.0,3.7,36900.0,69990.0,High school diploma or equivalent,Management,7.4033400234786235,50.53050397877984,4.459753444525018
      Social and community service managers,11-9151,line item,231000.0,247700.0,7.2,18500.0,80390.0,Bachelor's degree,Management,9.372514863483167,55.172413793103445,2.2359197486101037
      Emergency management directors,11-9161,line item,14000.0,14500.0,3.9,1100.0,93330.0,Bachelor's degree,Management,11.822622789411898,50.79575596816975,0.13294657964708728
        Funeral home managers,11-9171,line item,34800.0,36200.0,4.1,2600.0,78790.0,Associate's degree,Management,9.069564888097853,51.06100795755968,0.3142373700749335
"        Personal service managers, all other",11-9179,line item,25500.0,27100.0,6.2,2000.0,69770.0,High school diploma or equivalent,Management,7.361684401863141,53.84615384615385,0.241721053903795
"      Managers, all other",11-9199,line item,1338800.0,1404400.0,4.9,100900.0,141900.0,Bachelor's degree,Management,21.01904797970235,52.122015915119356,12.194827169446459
"      Agents and business managers of artists, performers, and athletes",13-1011,line item,26900.0,29500.0,9.7,2400.0,82890.0,Bachelor's degree,Business and Financial,9.84587420002272,58.488063660477444,0.290065264684554
      Buyers and purchasing agents,13-1020,line item,516100.0,547000.0,6.0,47200.0,77710.0,Bachelor's degree,Business and Financial,8.865073654712766,53.580901856763916,5.704616872129562
"        Claims adjusters, examiners, and investigators",13-1031,line item,376100.0,355500.0,-5.5,20900.0,78000.0,High school diploma or equivalent,Business and Financial,8.919983337751354,38.3289124668435,2.525985013294658
"        Insurance appraisers, auto damage",13-1032,line item,13500.0,12400.0,-8.7,700.0,78240.0,Postsecondary nondegree award,Business and Financial,8.965425834059152,34.08488063660477,0.08460236886632826
      Compliance officers,13-1041,line item,436400.0,453100.0,3.8,32700.000000000004,80730.0,Bachelor's degree,Business and Financial,9.436891733252546,50.663129973474796,3.952139231327049
      Cost estimators,13-1051,line item,226400.0,219500.0,-3.1,17600.0,78740.0,Bachelor's degree,Business and Financial,9.060097701367061,41.511936339522535,2.1271452743533965
        Human resources specialists,13-1071,line item,939700.0,999700.0,6.4,73700.0,75940.0,Bachelor's degree,Business and Financial,8.529935244442761,54.111405835543756,8.907420836354847
        Farm labor contractors,13-1074,line item,1900.0,2000.0,7.4,100.0,58460.0,No formal educational credential,Business and Financial,5.220206763358201,55.43766578249336,0.012086052695189751
        Labor relations specialists,13-1075,line item,66300.0,67700.0,2.1,4800.0,95420.0,Bachelor's degree,Business and Financial,12.218351194758965,48.40848806366048,0.580130529369108
        Logisticians,13-1081,line item,255100.0,300000.0,17.6,26600.0,82320.0,Bachelor's degree,Business and Financial,9.737948271291703,68.9655172413793,3.2148900169204735
        Project management specialists,13-1082,line item,1094300.0,1167400.0,6.7,76500.0,102320.0,Bachelor's degree,Business and Financial,13.524822963608136,54.50928381962864,9.245830311820159
      Management analysts,13-1111,line item,1077100.0,1186300.0,10.1,94100.0,101860.0,Bachelor's degree,Business and Financial,13.437724845684857,59.01856763925729,11.372975586173556
"      Meeting, convention, and event planners",13-1121,line item,172100.0,182100.0,5.8,16800.0,61160.0,Bachelor's degree,Business and Financial,5.731434846820918,53.31564986737399,2.030456852791878
      Fundraisers,13-1131,line item,140900.0,148700.0,5.5,10000.0,72550.0,Bachelor's degree,Business and Financial,7.888059984095126,52.91777188328912,1.208605269518975
"      Compensation, benefits, and job analysis specialists",13-1141,line item,118100.0,125200.0,6.0,9000.0,78210.0,Bachelor's degree,Business and Financial,8.959745522020675,53.580901856763916,1.0877447425670776
      Training and development specialists,13-1151,line item,472500.0,523700.00000000006,10.8,46000.0,69280.0,Bachelor's degree,Business and Financial,7.268905971901391,59.94694960212201,5.559584239787285
      Market research analysts and marketing specialists,13-1161,line item,952700.0,1019000.0,7.0,82000.0,78760.0,Bachelor's degree,Business and Financial,9.063884576059378,54.90716180371352,9.910563210055596
"      Business operations specialists, all other",13-1199,line item,1157600.0,1202300.0,3.9,98700.0,83050.0,Bachelor's degree,Business and Financial,9.876169197561254,50.79575596816975,11.928934010152284
      Accountants and auditors,13-2011,line item,1595200.0,1674600.0,5.0,115300.0,83680.0,Bachelor's degree,Business and Financial,9.99545575036922,52.25464190981432,13.935218757553782
      Property appraisers and assessors,13-2020,line item,68400.0,70700.0,3.5,5200.0,67960.0,Bachelor's degree,Business and Financial,7.0189722422085055,50.26525198938992,0.628474740149867
      Budget analysts,13-2031,line item,50400.0,51300.0,1.9,2900.0,91640.0,Bachelor's degree,Business and Financial,11.50263187791116,48.143236074270554,0.3504955281605028
      Credit analysts,13-2041,line item,64700.0,61900.0,-4.3,3100.0,83510.0,Bachelor's degree,Business and Financial,9.963267315484531,39.92042440318302,0.3746676335508823
        Financial and investment analysts,13-2051,line item,377200.0,404300.0,7.2,24700.0,102740.0,Bachelor's degree,Business and Financial,13.60434733214678,55.172413793103445,2.9852550157118687
        Personal financial advisors,13-2052,line item,299400.0,303500.0,1.4,17100.0,105070.0,Bachelor's degree,Business and Financial,14.045518233801642,47.48010610079575,2.0667150108774472
        Insurance underwriters,13-2053,line item,125600.0,120800.0,-3.8,6800.0,81370.0,Bachelor's degree,Business and Financial,9.558071723406671,40.58355437665782,0.8218515832729031
        Financial risk specialists,13-2054,line item,66000.0,70800.0,7.4,4800.0,117330.0,Bachelor's degree,Business and Financial,16.366872420191616,55.43766578249336,0.580130529369108
      Financial examiners,13-2061,line item,70000.0,76500.0,9.3,4500.0,94160.0,Bachelor's degree,Business and Financial,11.97977808914303,57.95755968169761,0.5438723712835388
        Credit counselors,13-2071,line item,31200.0,32299.999999999996,3.3,2000.0,52230.0,Bachelor's degree,Business and Financial,4.040595296701632,49.999999999999986,0.241721053903795
        Loan officers,13-2072,line item,283000.0,286000.0,1.1,17100.0,76690.0,Bachelor's degree,Business and Financial,8.671943045404626,47.08222811671087,2.0667150108774472
"        Tax examiners and collectors, and revenue agents",13-2081,line item,60100.0,59500.0,-1.0,4400.0,62370.0,Bachelor's degree,Business and Financial,5.960540765706063,44.29708222811671,0.5317863185883491
        Tax preparers,13-2082,line item,95800.0,100300.0,4.7,9400.0,54920.0,High school diploma or equivalent,Business and Financial,4.549929942818192,51.856763925729446,1.1360889533478367
"      Financial specialists, all other",13-2099,line item,137800.0,143400.0,4.1,9400.0,81100.0,Bachelor's degree,Business and Financial,9.5069489150604,51.06100795755968,1.1360889533478367
        Computer systems analysts,15-1211,line item,544400.0,587200.0,7.9,32900.0,105850.0,Bachelor's degree,Computer and Mathematical,14.193206346801984,56.10079575596816,3.976311336717428
        Information security analysts,15-1212,line item,192900.0,233400.0,21.0,14100.0,129180.0,Bachelor's degree,Computer and Mathematical,18.610595675389103,73.47480106100795,1.704133430021755
      Computer and information research scientists,15-1221,line item,38600.0,47000.0,21.8,2900.0,140300.0,Master's degree,Computer and Mathematical,20.716098004317036,74.53580901856763,0.3504955281605028
        Computer network support specialists,15-1231,line item,152500.0,154400.0,1.2,9000.0,76220.0,Associate's degree,Computer and Mathematical,8.582951490135192,47.214854111405835,1.0877447425670776
        Computer user support specialists,15-1232,line item,750600.0,724400.0,-3.5,39700.0,61860.0,"Some college, no degree",Computer and Mathematical,5.863975461051994,40.9814323607427,4.7981629199903315
        Computer network architects,15-1241,line item,181800.0,195800.0,7.7,9600.0,134050.0,Bachelor's degree,Computer and Mathematical,19.532699662968152,55.83554376657824,1.160261058738216
        Database administrators,15-1242,line item,75000.0,74900.0,-0.1,3300.0,104620.0,Bachelor's degree,Computer and Mathematical,13.960313553224523,45.490716180371344,0.3988397389412618
        Database architects,15-1243,line item,69500.0,76000.0,9.4,3900.0,139500.0,Bachelor's degree,Computer and Mathematical,20.56462301662438,58.09018567639257,0.47135605511240025
        Network and computer systems administrators,15-1244,line item,323600.0,310400.0,-4.1,13400.0,99130.0,Bachelor's degree,Computer and Mathematical,12.920816450183665,40.18567639257294,1.6195310611554266
        Computer programmers,15-1251,line item,110800.0,102700.0,-7.3,4400.0,100390.0,Bachelor's degree,Computer and Mathematical,13.1593895557996,35.94164456233421,0.5317863185883491
        Software developers,15-1252,line item,1717800.0,1892600.0,10.2,95300.0,135980.0,Bachelor's degree,Computer and Mathematical,19.898133070776687,59.151193633952246,11.518008218515833
        Software quality assurance analysts and testers,15-1253,line item,187600.0,198200.0,5.7,10700.0,104300.0,Bachelor's degree,Computer and Mathematical,13.899723558147462,53.183023872679044,1.2932076383853033
        Web developers,15-1254,line item,87400.0,90600.0,3.8,5300.0,92650.0,Bachelor's degree,Computer and Mathematical,11.69386904987314,50.663129973474796,0.6405607928450568
        Web and digital interface designers,15-1255,line item,132700.0,140800.0,6.0,8300.0,104000.0,Bachelor's degree,Computer and Mathematical,13.842920437762714,53.580901856763916,1.0031423737007492
"      Computer occupations, all other",15-1299,line item,471200.0,495300.0,5.1,27000.0,116580.0,Bachelor's degree,Computer and Mathematical,16.224864619229752,52.38726790450928,3.2632342277012323
      Actuaries,15-2011,line item,31200.0,34100.0,9.2,1500.0,130000.0,Bachelor's degree,Computer and Mathematical,18.765857537774075,57.82493368700264,0.18129079042784627
      Mathematicians,15-2021,line item,2200.0,2200.0,0.6,100.0,126710.0,Master's degree,Computer and Mathematical,18.142916650888022,46.41909814323607,0.012086052695189751
      Operations research analysts,15-2031,line item,113100.0,126600.0,11.9,7500.0,88940.0,Bachelor's degree,Computer and Mathematical,10.991403794448441,61.40583554376657,0.9064539521392313
      Statisticians,15-2041,line item,31300.0,34700.0,11.0,1900.0,105650.0,Master's degree,Computer and Mathematical,14.15533759987882,60.21220159151193,0.22963500120860525
      Data scientists,15-2051,line item,275600.0,371000.0,34.6,24800.0,120230.0,Bachelor's degree,Computer and Mathematical,16.915969250577497,91.51193633952253,2.9973410684070583
"      Mathematical science occupations, all other",15-2099,line item,4000.0,4200.0,7.1,200.0,81490.0,Bachelor's degree,Computer and Mathematical,9.580792971560571,55.03978779840848,0.024172105390379502
"        Architects, except landscape and naval",17-1011,line item,124600.0,129900.0,4.3,6900.0,99280.0,Bachelor's degree,Architecture and Engineering,12.949218010376038,51.32625994694959,0.8339376359680928
        Landscape architects,17-1012,line item,23500.0,24500.0,4.4,1700.0,79870.0,Bachelor's degree,Architecture and Engineering,9.274056121482941,51.45888594164455,0.20546289581822577
        Cartographers and photogrammetrists,17-1021,line item,14700.0,15700.0,7.4,900.0,81390.0,Bachelor's degree,Architecture and Engineering,9.56185859809899,55.43766578249336,0.10877447425670776
        Surveyors,17-1022,line item,52000.0,55000.0,5.8,3100.0,75440.0,Bachelor's degree,Architecture and Engineering,8.43526337713485,53.31564986737399,0.3746676335508823
      Aerospace engineers,17-2011,line item,68700.0,74400.0,8.3,3800.0,134960.0,Bachelor's degree,Architecture and Engineering,19.70500246146855,56.63129973474801,0.4592700024172105
      Agricultural engineers,17-2021,line item,1500.0,1600.0,6.9,100.0,98590.0,Bachelor's degree,Architecture and Engineering,12.818570833491119,54.774535809018566,0.012086052695189751
      Bioengineers and biomedical engineers,17-2031,line item,23800.0,25700.0,7.6,1200.0,109370.0,Bachelor's degree,Architecture and Engineering,14.859696292649677,55.702917771883286,0.145032632342277
      Chemical engineers,17-2041,line item,21900.0,22900.0,4.7,1100.0,125040.0,Bachelor's degree,Architecture and Engineering,17.8267126140796,51.856763925729446,0.13294657964708728
      Civil engineers,17-2051,line item,380600.0,405100.0,6.4,22700.0,100840.0,Bachelor's degree,Architecture and Engineering,13.24459423637672,54.111405835543756,2.7435339618080734
      Computer hardware engineers,17-2061,line item,76100.0,83000.0,9.1,4100.0,161740.0,Bachelor's degree,Architecture and Engineering,24.77562767448025,57.692307692307686,0.49552816050277976
        Electrical engineers,17-2071,line item,199700.0,219500.0,9.9,11400.0,120630.0,Bachelor's degree,Architecture and Engineering,16.991706744423826,58.75331564986737,1.3778100072516315
"        Electronics engineers, except computer",17-2072,line item,98200.0,101800.0,3.7,4900.0,130220.0,Bachelor's degree,Architecture and Engineering,18.807513159389554,50.53050397877984,0.5922165820642978
      Environmental engineers,17-2081,line item,39100.0,41600.0,6.3,2300.0,107110.0,Bachelor's degree,Architecture and Engineering,14.43177945241792,53.9787798408488,0.27797921198936426
"        Health and safety engineers, except mining safety engineers and inspectors",17-2111,line item,22300.0,23500.0,5.4,1200.0,115160.0,Bachelor's degree,Architecture and Engineering,15.955996516075283,52.78514588859415,0.145032632342277
        Industrial engineers,17-2112,line item,365100.0,410600.0,12.4,23100.0,102440.0,Bachelor's degree,Architecture and Engineering,13.547544211762034,62.06896551724137,2.7918781725888326
      Marine engineers and naval architects,17-2121,line item,8400.0,8900.0,6.7,500.0,112230.0,Bachelor's degree,Architecture and Engineering,15.401219373650926,54.50928381962864,0.06043026347594875
      Materials engineers,17-2131,line item,23800.0,25600.0,7.5,1300.0,112860.0,Bachelor's degree,Architecture and Engineering,15.520505926458894,55.57029177718832,0.15711868503746676
      Mechanical engineers,17-2141,line item,298500.0,332000.0,11.2,17800.0,104110.0,Bachelor's degree,Architecture and Engineering,13.863748248570454,60.47745358090184,2.1513173797437757
"      Mining and geological engineers, including mining safety engineers",17-2151,line item,6200.0,6400.0,3.8,300.0,106220.0,Bachelor's degree,Architecture and Engineering,14.263263528609837,50.663129973474796,0.03625815808556925
      Nuclear engineers,17-2161,line item,16600.0,16600.0,0.4,800.0,133970.0,Bachelor's degree,Architecture and Engineering,19.517552164198886,46.153846153846146,0.09668842156151801
      Petroleum engineers,17-2171,line item,18500.0,18800.0,2.0,1000.0,144910.0,Bachelor's degree,Architecture and Engineering,21.588972620895973,48.275862068965516,0.1208605269518975
"      Engineers, all other",17-2199,line item,166700.0,173000.0,3.7,8800.0,122930.0,Bachelor's degree,Architecture and Engineering,17.42719733404022,50.53050397877984,1.0635726371766983
        Architectural and civil drafters,17-3011,line item,104100.0,109500.0,5.2,9100.0,66150.0,Associate's degree,Architecture and Engineering,6.676260082553869,52.51989389920424,1.0998307952622675
        Electrical and electronics drafters,17-3012,line item,18900.0,18200.0,-3.4,1400.0,76870.0,Associate's degree,Architecture and Engineering,8.706024917635476,41.11405835543766,0.1692047377326565
        Mechanical drafters,17-3013,line item,42100.0,39600.0,-6.0,2900.0,71550.0,Associate's degree,Architecture and Engineering,7.698716249479305,37.665782493368695,0.3504955281605028
"        Drafters, all other",17-3019,line item,15200.0,14100.0,-7.3,1000.0,63520.0,Associate's degree,Architecture and Engineering,6.1782860605142575,35.94164456233421,0.1208605269518975
        Aerospace engineering and operations technologists and technicians,17-3021,line item,11600.0,12900.0,11.9,1100.0,82890.0,Associate's degree,Architecture and Engineering,9.84587420002272,61.40583554376657,0.13294657964708728
        Civil engineering technologists and technicians,17-3022,line item,70900.0,73200.0,3.2,6100.0,64950.0,Associate's degree,Architecture and Engineering,6.449047601014882,49.86737400530504,0.7372492144065749
        Electrical and electronic engineering technologists and technicians,17-3023,line item,96900.0,99200.0,2.4,8100.0,78190.0,Associate's degree,Architecture and Engineering,8.95595864732836,48.80636604774536,0.9789702683103698
        Electro-mechanical and mechatronics technologists and technicians,17-3024,line item,15700.0,16200.0,2.6,1400.0,73900.0,Associate's degree,Architecture and Engineering,8.143674025826485,49.07161803713527,0.1692047377326565
        Environmental engineering technologists and technicians,17-3025,line item,12500.0,12900.0,3.1,1100.0,59920.0,Associate's degree,Architecture and Engineering,5.4966486158973,49.734748010610076,0.13294657964708728
        Industrial engineering technologists and technicians,17-3026,line item,76700.0,79000.0,3.1,6600.0,66120.0,Associate's degree,Architecture and Engineering,6.670579770515393,49.734748010610076,0.7976794778825236
        Mechanical engineering technologists and technicians,17-3027,line item,36900.0,37400.0,1.3,3100.0,74510.0,Associate's degree,Architecture and Engineering,8.259173703942137,47.34748010610079,0.3746676335508823
        Calibration technologists and technicians,17-3028,line item,17000.0,17800.0,4.8,1500.0,67820.0,Associate's degree,Architecture and Engineering,6.992464119362291,51.98938992042439,0.18129079042784627
"        Engineering technologists and technicians, except drafters, all other",17-3029,line item,62400.0,64099.99999999999,2.8,5400.0,78350.0,Associate's degree,Architecture and Engineering,8.986253644866892,49.33687002652519,0.6526468455402465
      Surveying and mapping technicians,17-3031,line item,58800.0,62200.0,5.8,6900.0,54240.0,High school diploma or equivalent,Architecture and Engineering,4.421176203279433,53.31564986737399,0.8339376359680928
        Animal scientists,19-1011,line item,3400.0,3600.0,5.8,200.0,68940.0,Bachelor's degree,"Life, Physical, and Social Science",7.204529102132011,53.31564986737399,0.024172105390379502
        Food scientists and technologists,19-1012,line item,14100.0,14900.0,6.2,1000.0,88720.0,Bachelor's degree,"Life, Physical, and Social Science",10.949748172832962,53.84615384615385,0.1208605269518975
        Soil and plant scientists,19-1013,line item,19900.0,21300.0,6.7,1400.0,78850.0,Bachelor's degree,"Life, Physical, and Social Science",9.080925512174803,54.50928381962864,0.1692047377326565
        Biochemists and biophysicists,19-1021,line item,35200.0,39500.0,12.3,2900.0,127410.0,Doctoral or professional degree,"Life, Physical, and Social Science",18.275457265119098,61.93633952254641,0.3504955281605028
        Microbiologists,19-1022,line item,20100.0,21400.0,6.2,1500.0,87990.0,Bachelor's degree,"Life, Physical, and Social Science",10.811527246563411,53.84615384615385,0.18129079042784627
